DeviceTag: Xsens DOT,FirmwareVersion: 2.2.1,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-04-06 12:30:27.399,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
5554751,0.6655,-0.1514,0.1894,-0.7059,-2.2425,-0.5295,-6.2279,0
5554918,0.6582,-0.1882,0.1890,-0.7040,-0.8341,-1.8528,-6.2076,0
5555085,0.6509,-0.2435,0.1809,-0.6959,-0.0297,-1.5300,-4.8692,0
5555251,0.6435,-0.2879,0.1688,-0.6888,-3.6935,-2.6663,-9.1609,0
5555418,0.6335,-0.3201,0.1649,-0.6848,-2.9729,-2.9488,-8.6537,0
5555585,0.6220,-0.3468,0.1640,-0.6825,-3.0385,-3.0407,-8.2192,0
5555751,0.6103,-0.3678,0.1636,-0.6822,-2.8865,-3.1578,-8.1644,0
5555918,0.5991,-0.3810,0.1668,-0.6842,-2.3244,-3.2689,-7.5454,0
5556085,0.5895,-0.3820,0.1735,-0.6903,-3.7578,-1.1211,-9.0397,0
5556251,0.5832,-0.3738,0.1875,-0.6964,-1.1162,-1.1159,-6.3161,0
5556418,0.5768,-0.3612,0.2005,-0.7047,-2.1813,-2.4248,-7.8434,0
5556585,0.5709,-0.3433,0.2117,-0.7151,-0.9036,-1.7768,-7.0126,0
5556751,0.5661,-0.3212,0.2228,-0.7257,0.0384,-1.1990,-6.4703,0
5556918,0.5623,-0.3004,0.2258,-0.7367,0.7879,-1.4815,-5.5101,0
5557085,0.5595,-0.2835,0.2210,-0.7468,1.9838,-2.5943,-4.8004,0
5557251,0.5591,-0.2672,0.2125,-0.7555,3.1039,-2.8340,-3.9370,0
5557418,0.5617,-0.2514,0.1990,-0.7627,4.0419,-2.6818,-2.3310,0
5557585,0.5661,-0.2369,0.1816,-0.7684,4.4159,-3.0296,-1.4816,0
5557751,0.5716,-0.2216,0.1634,-0.7730,4.8376,-3.3497,0.2404,0
5557918,0.5778,-0.2069,0.1460,-0.7759,5.0646,-3.5035,1.9387,0
5558085,0.5842,-0.1943,0.1291,-0.7773,5.1142,-3.4102,2.8770,0
5558251,0.5903,-0.1845,0.1131,-0.7776,4.9888,-3.0334,3.4215,0
5558418,0.5963,-0.1746,0.0997,-0.7772,4.5974,-2.3996,3.2529,0
5558585,0.6015,-0.1649,0.0883,-0.7767,3.9978,-1.5824,3.3380,0
5558751,0.6055,-0.1550,0.0799,-0.7765,3.4617,-1.0905,3.2778,0
5558918,0.6081,-0.1454,0.0747,-0.7768,3.1069,-0.8243,3.4231,0
5559085,0.6096,-0.1375,0.0719,-0.7774,2.7920,-0.6889,3.7080,0
5559251,0.6106,-0.1307,0.0713,-0.7778,2.5932,-0.6582,3.6202,0
5559418,0.6117,-0.1259,0.0717,-0.7777,2.4052,-0.6036,3.1296,0
5559585,0.6122,-0.1214,0.0715,-0.7781,2.2263,-0.5102,2.8816,0
5559751,0.6118,-0.1155,0.0691,-0.7795,2.2918,0.1420,4.4447,0
5559918,0.6114,-0.1133,0.0659,-0.7804,0.9596,-0.5279,7.5627,0
5560085,0.6088,-0.1150,0.0664,-0.7821,1.1208,-1.5766,5.3591,0
5560251,0.6071,-0.1166,0.0700,-0.7829,1.9445,-2.1621,1.7909,0
5560418,0.6079,-0.1179,0.0713,-0.7820,1.9959,-3.3592,2.2081,0
5560585,0.6082,-0.1224,0.0699,-0.7812,2.1087,-2.3714,5.0725,0
5560752,0.6098,-0.1287,0.0695,-0.7789,2.6523,-1.6713,7.2297,0
5560918,0.6119,-0.1391,0.0708,-0.7754,2.8611,-2.1190,8.3141,0
5561085,0.6129,-0.1526,0.0744,-0.7717,3.3674,-1.9527,7.1535,0
5561252,0.6134,-0.1689,0.0810,-0.7672,3.6659,-0.8905,6.1676,0
5561418,0.6093,-0.1914,0.0888,-0.7643,3.2736,-0.0181,5.3843,0
5561585,0.6074,-0.2136,0.0945,-0.7593,4.1058,0.5647,3.2774,0
5561752,0.6055,-0.2387,0.0998,-0.7526,3.3705,2.6163,3.0852,0
5561918,0.6010,-0.2660,0.1027,-0.7467,3.0330,2.7064,0.6389,0
5562085,0.5945,-0.2947,0.1021,-0.7411,2.0868,3.0834,-1.4241,0
5562252,0.5874,-0.3229,0.0995,-0.7354,1.1573,3.1054,-3.1862,0
5562418,0.5796,-0.3482,0.0961,-0.7305,-0.1476,2.8300,-4.7103,0
5562585,0.5706,-0.3696,0.0932,-0.7274,-1.0822,2.0561,-6.1688,0
5562752,0.5600,-0.3869,0.0939,-0.7265,-2.0205,1.9325,-7.0088,0
5562918,0.5493,-0.3980,0.0967,-0.7284,-2.5935,0.7374,-7.7267,0
5563085,0.5384,-0.4040,0.1009,-0.7326,-3.0990,-1.3310,-8.1086,0
5563252,0.5286,-0.4056,0.1033,-0.7386,-3.6222,-3.1769,-8.4644,0
5563418,0.5209,-0.4033,0.1035,-0.7452,-3.5950,-3.6705,-8.3363,0
5563585,0.5150,-0.3991,0.1012,-0.7518,-3.2773,-3.2584,-7.8817,0
5563752,0.5096,-0.3936,0.0964,-0.7590,-3.0546,-2.6487,-7.8533,0
5563918,0.5048,-0.3862,0.0902,-0.7667,-2.5936,-1.9176,-7.7538,0
5564085,0.5008,-0.3769,0.0829,-0.7748,-2.0676,-1.3490,-7.3542,0
5564252,0.4974,-0.3643,0.0759,-0.7837,-1.4778,-1.4412,-6.4360,0
5564418,0.4953,-0.3468,0.0723,-0.7932,-0.6921,-1.8851,-5.5885,0
5564585,0.4960,-0.3257,0.0709,-0.8018,0.0332,-2.5717,-4.4761,0
5564752,0.4977,-0.3064,0.0664,-0.8087,0.3683,-3.9334,-3.6471,0
5564918,0.5009,-0.2883,0.0596,-0.8139,0.6799,-4.8160,-3.5011,0
5565085,0.5059,-0.2704,0.0507,-0.8175,1.0292,-4.1040,-3.0363,0
5565252,0.5109,-0.2531,0.0406,-0.8205,1.6485,-2.0649,-2.2363,0
5565418,0.5148,-0.2361,0.0308,-0.8236,2.2820,-0.0923,-0.9574,0
5565585,0.5185,-0.2174,0.0241,-0.8266,2.2827,0.5659,0.2864,0
5565752,0.5220,-0.1952,0.0232,-0.8300,2.0966,0.3447,0.9298,0
5565918,0.5253,-0.1709,0.0263,-0.8332,2.0394,-0.0502,0.9540,0
