DeviceTag: Xsens DOT,FirmwareVersion: 2.2.1,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-03-09 12:52:53.574,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
13241232,-0.1994,-0.6590,0.6285,-0.3620,0.0096,0.0108,0.1879,0
13241399,-0.1992,-0.6588,0.6286,-0.3621,0.0108,0.0633,0.0534,0
13241565,-0.1987,-0.6589,0.6289,-0.3618,-0.0238,0.0064,0.1028,0
13241732,-0.1985,-0.6589,0.6291,-0.3615,-0.0291,-0.0879,0.2859,0
13241899,-0.1985,-0.6589,0.6290,-0.3617,0.0148,-0.0180,0.2740,0
13242065,-0.1982,-0.6590,0.6289,-0.3618,-0.0454,-0.0526,0.1336,0
13242232,-0.1980,-0.6591,0.6288,-0.3619,-0.0397,-0.0072,0.1192,0
13242399,-0.1978,-0.6593,0.6287,-0.3618,-0.0300,-0.0803,0.2401,0
13242565,-0.1977,-0.6593,0.6288,-0.3619,0.0197,-0.0836,0.1806,0
13242732,-0.1974,-0.6594,0.6289,-0.3617,-0.0167,-0.0416,0.1132,0
13242899,-0.1971,-0.6595,0.6289,-0.3615,-0.0251,0.0184,0.1023,0
13243065,-0.1969,-0.6596,0.6289,-0.3614,-0.0686,-0.0252,0.2613,0
13243232,-0.1967,-0.6597,0.6289,-0.3614,-0.0501,0.0055,0.2387,0
13243399,-0.1965,-0.6597,0.6290,-0.3614,-0.0452,-0.0324,0.1636,0
13243565,-0.1962,-0.6598,0.6290,-0.3613,0.0267,-0.0417,0.1537,0
13243732,-0.1959,-0.6599,0.6291,-0.3611,-0.0645,-0.0530,0.1258,0
13243899,-0.1957,-0.6600,0.6291,-0.3610,-0.0997,-0.0406,0.1936,0
13244065,-0.1955,-0.6602,0.6291,-0.3608,-0.0089,-0.0364,0.1930,0
13244232,-0.1951,-0.6603,0.6291,-0.3608,-0.0411,-0.0465,0.2086,0
13244399,-0.1948,-0.6603,0.6292,-0.3608,-0.0343,-0.0417,0.2409,0
13244565,-0.1945,-0.6604,0.6293,-0.3607,-0.1393,-0.0474,0.1008,0
13244732,-0.1943,-0.6605,0.6293,-0.3606,-0.0548,-0.0127,0.1860,0
13244899,-0.1943,-0.6603,0.6294,-0.3606,-0.0179,-0.1278,0.2243,0
13245065,-0.1942,-0.6603,0.6295,-0.3607,-0.0385,-0.1336,0.2169,0
13245232,-0.1940,-0.6603,0.6295,-0.3607,-0.0782,-0.0261,0.1039,0
13245399,-0.1938,-0.6603,0.6296,-0.3606,-0.0536,-0.0780,0.2082,0
13245565,-0.1936,-0.6602,0.6297,-0.3607,-0.0990,-0.1226,0.2511,0
13245732,-0.1935,-0.6603,0.6297,-0.3607,-0.0339,-0.0743,0.1013,0
13245899,-0.1933,-0.6604,0.6296,-0.3607,-0.0579,-0.0649,0.1307,0
13246066,-0.1930,-0.6606,0.6295,-0.3607,-0.1039,-0.0900,0.2275,0
13246232,-0.1928,-0.6606,0.6295,-0.3608,-0.1292,-0.0305,0.2375,0
13246399,-0.1927,-0.6606,0.6294,-0.3609,-0.0778,-0.0358,0.1171,0
13246566,-0.1925,-0.6608,0.6294,-0.3609,-0.0345,-0.0267,0.1441,0
13246732,-0.1921,-0.6610,0.6292,-0.3609,-0.1024,-0.1027,0.2063,0
13246899,-0.1919,-0.6611,0.6292,-0.3609,-0.0971,-0.1083,0.1903,0
13247066,-0.1918,-0.6611,0.6293,-0.3608,-0.1126,-0.0938,0.1812,0
13247232,-0.1915,-0.6612,0.6293,-0.3608,-0.1505,-0.1513,0.2237,0
13247399,-0.1913,-0.6612,0.6293,-0.3609,-0.0988,-0.0866,0.2080,0
13247566,-0.1912,-0.6613,0.6292,-0.3610,-0.0502,-0.0698,0.0887,0
13247732,-0.1910,-0.6614,0.6292,-0.3609,-0.0719,-0.0744,0.1698,0
