DeviceTag: Xsens DOT,FirmwareVersion: 2.2.1,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-03-09 13:04:44.984,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
19254427,0.9708,-0.0025,0.0111,0.2398,0.0042,-0.0004,-0.1277,0
19254594,0.9708,-0.0026,0.0112,0.2397,0.0119,-0.0103,-0.1167,0
19254761,0.9708,-0.0028,0.0113,0.2395,0.0103,0.0089,-0.1049,0
19254927,0.9709,-0.0029,0.0113,0.2393,0.0172,0.0133,-0.0973,0
19255094,0.9709,-0.0029,0.0113,0.2392,0.0211,0.0168,-0.1104,0
19255261,0.9709,-0.0030,0.0113,0.2391,0.0253,0.0051,-0.1000,0
19255428,0.9710,-0.0030,0.0114,0.2389,0.0030,0.0001,-0.1122,0
19255594,0.9710,-0.0031,0.0114,0.2389,0.0213,0.0258,-0.1138,0
19255761,0.9710,-0.0031,0.0115,0.2389,0.0263,0.0085,-0.0948,0
19255928,0.9710,-0.0031,0.0115,0.2388,0.0258,0.0212,-0.1055,0
19256094,0.9710,-0.0032,0.0116,0.2388,0.0207,0.0169,-0.1169,0
19256261,0.9710,-0.0032,0.0117,0.2387,0.0218,0.0295,-0.1020,0
19256428,0.9710,-0.0033,0.0118,0.2386,0.0239,0.0179,-0.1317,0
19256594,0.9710,-0.0033,0.0118,0.2386,0.0222,0.0288,-0.1105,0
19256761,0.9711,-0.0034,0.0119,0.2384,0.0182,0.0241,-0.0920,0
19256928,0.9711,-0.0034,0.0120,0.2382,0.0393,0.0208,-0.1202,0
19257094,0.9711,-0.0034,0.0121,0.2382,0.0329,0.0242,-0.1041,0
19257261,0.9712,-0.0035,0.0122,0.2381,0.0218,0.0242,-0.1206,0
19257428,0.9712,-0.0035,0.0123,0.2378,0.0224,0.0269,-0.0879,0
19257594,0.9712,-0.0036,0.0124,0.2377,0.0381,0.0195,-0.1077,0
19257761,0.9713,-0.0036,0.0125,0.2376,0.0286,0.0217,-0.1221,0
19257928,0.9713,-0.0037,0.0126,0.2375,0.0208,0.0447,-0.0920,0
19258094,0.9713,-0.0037,0.0127,0.2376,0.0328,0.0273,-0.1010,0
19258261,0.9713,-0.0038,0.0128,0.2374,0.0360,0.0130,-0.0931,0
19258428,0.9713,-0.0038,0.0129,0.2373,0.0400,0.0199,-0.1155,0
19258594,0.9714,-0.0039,0.0130,0.2371,0.0453,0.0330,-0.1102,0
19258761,0.9714,-0.0039,0.0131,0.2370,0.0463,0.0382,-0.0967,0
19258928,0.9715,-0.0040,0.0132,0.2368,0.0330,0.0316,-0.0823,0
19259094,0.9715,-0.0040,0.0133,0.2368,0.0651,0.0344,-0.1085,0
19259261,0.9715,-0.0041,0.0134,0.2368,0.0436,0.0363,-0.1125,0
19259428,0.9715,-0.0041,0.0135,0.2367,0.0487,0.0380,-0.1141,0
19259594,0.9715,-0.0042,0.0136,0.2365,0.0515,0.0500,-0.0987,0
19259761,0.9716,-0.0042,0.0137,0.2364,0.0617,0.0407,-0.0843,0
19259928,0.9716,-0.0042,0.0138,0.2362,0.0584,0.0495,-0.1132,0
