DeviceTag: Xsens DOT,FirmwareVersion: 2.2.1,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-03-09 12:08:58.634,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
828797,0.7701,0.3992,-0.0944,0.4886,0.0025,-0.0072,0.0904,0
828964,0.7698,0.3995,-0.0938,0.4888,0.0892,0.0054,0.0007,0
829130,0.7697,0.3993,-0.0941,0.4892,0.0789,-0.0501,0.0161,0
829297,0.7696,0.3991,-0.0942,0.4894,0.0844,0.0227,-0.1239,0
829464,0.7694,0.3993,-0.0940,0.4897,0.1400,-0.0028,-0.1580,0
829630,0.7693,0.3992,-0.0939,0.4899,0.0241,-0.0501,-0.0500,0
829797,0.7692,0.3991,-0.0938,0.4901,0.0190,0.0100,-0.1122,0
829964,0.7691,0.3992,-0.0934,0.4903,-0.0212,-0.0161,-0.0868,0
830130,0.7689,0.3994,-0.0928,0.4905,-0.1242,-0.1001,0.0675,0
830297,0.7688,0.3995,-0.0922,0.4907,-0.1429,-0.0733,0.0573,0
830464,0.7687,0.3997,-0.0917,0.4908,-0.0897,-0.1127,0.1060,0
830630,0.7687,0.3998,-0.0914,0.4909,-0.1390,-0.1067,0.1309,0
830797,0.7684,0.4000,-0.0910,0.4911,-0.0664,-0.0839,0.0453,0
830964,0.7684,0.4000,-0.0907,0.4912,-0.1285,-0.1177,0.1101,0
831130,0.7683,0.4003,-0.0905,0.4913,-0.0966,-0.0370,-0.0376,0
831297,0.7683,0.4005,-0.0902,0.4911,-0.0963,-0.0529,0.0416,0
831464,0.7680,0.4010,-0.0898,0.4912,-0.1291,-0.0428,0.0215,0
831630,0.7677,0.4014,-0.0894,0.4915,-0.0136,-0.0630,0.0519,0
831797,0.7671,0.4017,-0.0890,0.4922,-0.0466,-0.0570,0.0417,0
831964,0.7669,0.4021,-0.0889,0.4922,0.0636,-0.0432,-0.0025,0
832130,0.7668,0.4023,-0.0890,0.4921,0.1714,-0.0763,0.0250,0
832297,0.7668,0.4023,-0.0891,0.4921,0.0789,-0.0566,-0.1018,0
832464,0.7667,0.4029,-0.0889,0.4920,0.1663,0.0662,-0.2891,0
832630,0.7666,0.4030,-0.0887,0.4919,0.1648,-0.0456,-0.0491,0
832797,0.7666,0.4030,-0.0888,0.4919,0.0606,-0.0069,-0.1165,0
832964,0.7666,0.4033,-0.0885,0.4919,0.0948,0.0217,-0.0938,0
833130,0.7669,0.4034,-0.0887,0.4913,0.1979,-0.0633,0.1249,0
833297,0.7668,0.4035,-0.0888,0.4912,0.2165,0.0361,-0.0418,0
833464,0.7672,0.4031,-0.0885,0.4909,0.1345,-0.0377,-0.0477,0
833630,0.7673,0.4033,-0.0883,0.4907,0.0222,-0.1212,0.0769,0
833797,0.7672,0.4035,-0.0881,0.4907,0.0606,-0.0365,-0.0181,0
833964,0.7675,0.4035,-0.0881,0.4903,0.0685,-0.0250,0.0210,0
834130,0.7676,0.4036,-0.0880,0.4901,-0.0485,-0.0526,-0.0381,0
834297,0.7677,0.4036,-0.0882,0.4898,-0.0298,-0.0368,-0.1011,0
834464,0.7677,0.4038,-0.0879,0.4898,0.0667,-0.0245,-0.0794,0
834630,0.7678,0.4039,-0.0880,0.4894,0.1006,-0.1301,-0.0095,0
834797,0.7679,0.4038,-0.0880,0.4893,0.0272,-0.0717,-0.0716,0
834964,0.7681,0.4038,-0.0880,0.4891,0.0949,-0.0800,0.0171,0
835130,0.7684,0.4036,-0.0883,0.4887,0.1343,-0.0509,0.0268,0
835297,0.7684,0.4038,-0.0881,0.4885,0.1331,-0.0318,-0.0557,0
835464,0.7685,0.4039,-0.0880,0.4884,0.0221,-0.1076,0.0196,0
835630,0.7684,0.4040,-0.0878,0.4885,0.0562,-0.1100,-0.0159,0
835797,0.7685,0.4038,-0.0881,0.4884,0.1868,-0.0783,-0.0194,0
835964,0.7685,0.4035,-0.0883,0.4887,0.1851,-0.0869,-0.0238,0
836130,0.7688,0.4035,-0.0884,0.4882,0.1628,-0.0806,-0.0521,0
836297,0.7691,0.4034,-0.0886,0.4877,0.1908,-0.1245,-0.0330,0
836464,0.7692,0.4035,-0.0884,0.4876,0.1559,-0.1568,0.0375,0
836630,0.7693,0.4036,-0.0883,0.4873,0.0623,-0.1985,0.0778,0
836797,0.7693,0.4037,-0.0882,0.4873,0.0685,-0.1555,0.0568,0
836964,0.7696,0.4036,-0.0885,0.4868,0.0666,-0.1462,0.0698,0
837130,0.7696,0.4040,-0.0883,0.4866,0.0939,-0.0828,-0.0387,0
837297,0.7700,0.4041,-0.0883,0.4858,0.1126,-0.1460,0.0186,0
837464,0.7702,0.4042,-0.0882,0.4854,-0.1082,-0.1648,-0.0045,0
837630,0.7701,0.4046,-0.0880,0.4852,-0.0111,-0.1455,-0.0033,0
837797,0.7703,0.4046,-0.0882,0.4850,0.0831,-0.1363,0.0332,0
837964,0.7702,0.4046,-0.0881,0.4851,-0.0071,-0.1817,0.0554,0
838130,0.7700,0.4050,-0.0880,0.4851,0.1058,-0.1078,-0.0511,0
838297,0.7701,0.4052,-0.0878,0.4849,0.1971,-0.2349,0.0696,0
838464,0.7702,0.4052,-0.0880,0.4847,0.1842,-0.2247,-0.0213,0
838630,0.7701,0.4053,-0.0878,0.4847,0.2292,-0.2355,-0.0823,0
838797,0.7702,0.4054,-0.0877,0.4846,0.2249,-0.2638,-0.0259,0
838964,0.7702,0.4056,-0.0874,0.4845,0.24
